rep,L,closed,numeric,abs_diff,max_K_drop
81,8,82.61196597291247,82.61196597291247,0.0,4.702991787560225
82,3,22.264415117883175,22.264415117883175,0.0,4.576302448045537
83,9,11.377009902472716,11.377009902472716,0.0,5.628529688331481
84,3,8.06635248667211,8.06635248667211,0.0,1.0025999332602376
85,10,44.48415434812598,44.48415434812598,0.0,4.5914808777647025
86,8,26.77779774865592,26.77779774865592,0.0,5.080831824052488
87,10,26.946789952752596,26.946789952752596,0.0,5.23138109347262
88,8,9.131554969358346,9.131554969358348,1.7763568394002505e-15,1.8423819493804947
89,9,12.991679661670837,12.991679661670837,0.0,5.536673889334374
90,8,30.427897789136473,30.427897789136473,0.0,7.1983260206389525
91,8,21.184328495130433,21.184328495130433,0.0,5.200867755641793
92,3,9.191538355542823,9.191538355542823,0.0,3.1960618296079253
93,2,9.693307787949426,9.693307787949426,0.0,2.450042700865719
94,3,15.570026349192968,15.570026349192968,0.0,3.6839401113837082
95,10,212.83928074727177,212.83928074727177,0.0,5.738906034768935
96,8,36.63452894070621,36.63452894070621,0.0,6.740099876601974
97,6,15.002393668244904,15.002393668244906,1.7763568394002505e-15,5.40324455328855
98,6,8.369680095550747,8.369680095550747,0.0,1.6366339324184915
99,2,1.9011358983519806,1.9011358983519806,0.0,0.0
100,7,20.933032438690375,20.933032438690375,0.0,3.6769342869906767
101,10,31.537215829964104,31.537215829964104,0.0,6.555700953567843
102,2,1.8361877224486554,1.8361877224486554,0.0,0.0
103,9,11.319380507183045,11.319380507183045,0.0,3.607930728831482
104,7,7.365601790869026,7.365601790869026,0.0,1.846099465816931
105,5,18.344206087070265,18.344206087070265,0.0,3.9351257230116405
106,10,128.11792905804143,128.11792905804143,0.0,4.235471055344283
107,10,13.636320162970003,13.636320162970003,0.0,3.979099556832137
108,10,55.526163215616336,55.526163215616336,0.0,4.571096169545243
109,5,28.667530389430375,28.667530389430375,0.0,7.06008656053825
110,10,72.23448568470623,72.23448568470623,0.0,6.777207820805179
111,9,21.681498466122093,21.681498466122093,0.0,6.44993204644677
112,4,3.557065439515761,3.557065439515761,0.0,0.5534929653614418
113,6,28.87571512965597,28.87571512965597,0.0,5.980551206080403
114,5,15.268008591571178,15.268008591571178,0.0,2.9643163095502842
115,6,9.418236065923104,9.418236065923104,0.0,4.482332252663358
